agent_id,supplier_id,Destination,Booking date,pax,booking_status,travel_date,coupon_redeem,Coupon Used?,costprice,markup,selling_price
4582,519,Thailand,2024-10-02,10,Failed,2024-10-14,0,No,358546.98869889986,1035.640404813845,359582.6291037137
4234,327,Dubai,2024-11-01,8,Confirmed,2024-11-12,0,No,224364.61525007946,6228.2075475146585,230592.82279759413
3309,901,Bali,2024-04-02,3,Confirmed,2024-04-17,500,Yes,108690.25832092541,49754.91705792112,157945.17537884653
3755,785,Kashmir,2024-05-25,3,Confirmed,2024-08-02,1000,Yes,69679.99861369787,18548.599893180108,87228.59850687798
2156,610,Maldives,2024-09-02,10,Confirmed,2024-10-20,500,Yes,647098.7046699623,134682.42710448484,781281.1317744472
2462,727,Kerala,2024-03-12,7,Canceled,2024-03-25,1000,Yes,122410.7965814283,9816.616776149753,131227.41335757804
1073,801,Kashmir,2024-05-28,3,Confirmed,2024-08-16,2000,Yes,79506.80359349884,10357.89731298833,87864.70090648718
4509,699,Himachal Pradesh,2024-03-24,5,Confirmed,2024-04-14,500,Yes,109458.78330356292,43904.68885612758,152863.4721596905
3729,620,Kerala,2024-08-17,6,Confirmed,2024-11-02,1000,Yes,113419.18041226656,35325.739562324066,147744.91997459062
1519,943,Kerala,2024-09-14,7,Canceled,2024-09-25,2000,Yes,130231.49803653125,18252.758276737382,146484.25631326862
1775,207,Dubai,2024-05-15,10,Failed,2024-07-11,0,No,328991.7223186311,-7575.934779406146,321415.78753922496
3229,528,Vietnam,2024-03-06,2,Confirmed,2024-03-25,2000,Yes,77732.20906526742,13636.683898590338,89368.89296385777
2492,681,Himachal Pradesh,2024-12-17,4,Confirmed,2025-01-03,1000,Yes,80563.58513233848,14759.428051202387,94323.01318354087
2453,281,Bali,2024-10-07,2,Confirmed,2024-10-28,0,No,79046.12454195108,7156.9925330623155,86203.1170750134
2285,701,Dubai,2024-11-29,6,Confirmed,2024-12-18,2000,Yes,194571.23701016098,47435.856515116975,240007.09352527797
3589,887,Kashmir,2024-02-11,1,Failed,2024-02-19,500,Yes,26467.960046163604,83.37297596808195,26051.333022131686
2107,433,Vietnam,2024-07-12,9,Canceled,2024-07-28,500,Yes,329765.5138170865,154053.42068749294,483318.93450457946
2591,437,Bali,2024-05-25,1,Confirmed,2024-06-08,2000,Yes,41477.6877259552,9210.771846876547,48688.45957283174
1142,567,Kerala,2024-12-19,10,Canceled,2025-01-07,1000,Yes,178655.46170983478,22256.319348760982,199911.78105859575
2029,550,Thailand,2024-09-28,6,Canceled,2024-11-06,0,No,203495.52437780704,22451.16683800006,225946.6912158071
3403,567,Vietnam,2024-03-17,2,Confirmed,2024-04-03,0,No,83407.85301181731,25446.36708957905,108854.22010139635
3945,987,Dubai,2024-10-03,6,Confirmed,2024-10-24,2000,Yes,196637.25446823676,-6655.647523673323,187981.60694456345
1188,356,Kerala,2024-04-24,6,Confirmed,2024-05-04,500,Yes,102514.33842761401,39019.16527082821,141033.50369844222
1102,564,Maldives,2024-01-02,10,Confirmed,2024-01-22,2000,Yes,624725.1849216784,-10979.296275714225,611745.8886459642
1944,249,Kerala,2024-10-03,10,Confirmed,2024-10-21,2000,Yes,191324.05201255935,27447.706056957024,216771.75806951636
2240,712,Maldives,2024-07-17,5,Confirmed,2024-07-21,2000,Yes,286765.8457308836,27667.690986881713,312433.5367177653
2774,537,Kashmir,2024-09-05,6,Confirmed,2024-09-13,0,No,141086.63956984776,-5601.3243028247,135485.31526702305
4425,700,Himachal Pradesh,2024-07-26,8,Canceled,2024-08-09,2000,Yes,147199.0871027949,-4377.1526348749685,140821.93446791993
4697,824,Maldives,2024-06-17,1,Canceled,2024-07-03,500,Yes,58510.874413198326,7181.4087350912605,65192.283148289585
4484,609,Kashmir,2024-08-23,5,Confirmed,2024-09-13,1000,Yes,132799.60283448416,24524.593832944214,156324.19666742836
3707,310,Kashmir,2024-01-21,10,Confirmed,2024-03-03,0,No,241024.19990601417,-2047.1045395546275,238977.09536645954
2959,788,Vietnam,2024-07-22,4,Confirmed,2024-07-31,0,No,153716.56807544894,26901.612279728422,180618.18035517738
3112,818,Thailand,2024-05-20,6,Canceled,2024-06-04,2000,Yes,227046.36866525485,27721.232645877277,252767.60131113214
2576,468,Kerala,2024-06-15,10,Confirmed,2024-06-27,2000,Yes,164496.9112583632,6040.26164995519,168537.17290831837
3105,867,Himachal Pradesh,2024-10-12,7,Confirmed,2024-12-25,2000,Yes,140753.98292176562,23631.603395882852,162385.58631764847
1410,882,Himachal Pradesh,2024-02-03,2,Confirmed,2024-02-11,500,Yes,37543.2666844204,3117.857322488266,40161.12400690866
4457,923,Thailand,2024-09-28,4,Confirmed,2024-12-26,0,No,148683.81560077568,43543.013735801076,192226.82933657675
4355,587,Himachal Pradesh,2024-04-20,1,Confirmed,2024-04-29,1000,Yes,19389.831325261275,4343.425715222418,22733.257040483695
3608,296,Thailand,2024-07-04,6,Confirmed,2024-07-23,1000,Yes,212542.05686611752,22770.43325610465,234312.49012222217
1521,290,Himachal Pradesh,2024-01-09,10,Confirmed,2024-01-27,500,Yes,189137.1477001356,79755.65494929824,268392.80264943384
4861,312,Maldives,2024-12-14,9,Confirmed,2025-01-13,500,Yes,509042.9819496951,-905.6770008828714,507637.30494881223
3405,538,Dubai,2024-01-01,6,Confirmed,2024-01-14,0,No,196640.1673379724,-9825.371298970887,186814.79603900152
2572,553,Vietnam,2024-10-02,2,Confirmed,2024-10-21,2000,Yes,83285.52282901852,38341.279237369636,119626.80206638816
2403,341,Maldives,2024-01-31,5,Confirmed,2024-02-12,2000,Yes,309140.96463874535,166.75684937547015,307307.72148812085
2907,287,Kerala,2024-07-04,3,Confirmed,2024-07-13,500,Yes,52198.73519380132,7750.927894999171,59449.663088800495
2261,585,Kerala,2024-01-07,9,Failed,2024-01-12,0,No,162039.8377314414,74565.39210817034,236605.22983961174
3526,900,Himachal Pradesh,2024-10-03,8,Confirmed,2024-10-24,0,No,173415.83033503988,40895.87407776715,214311.704412807
3410,213,Thailand,2024-01-26,2,Canceled,2024-02-11,1000,Yes,69441.78297997607,-776.0937323948785,67665.68924758119
2300,795,Vietnam,2024-05-01,10,Confirmed,2024-06-19,2000,Yes,371461.6536902747,-5614.368173822191,363847.2855164525
3948,756,Bali,2024-04-06,6,Confirmed,2024-04-22,500,Yes,255624.3277415947,91046.90109899481,346171.2288405895
1529,445,Dubai,2024-03-06,3,Confirmed,2024-03-26,0,No,95764.4869323536,17251.86778238252,113016.35471473611
2652,432,Himachal Pradesh,2024-03-13,10,Canceled,2024-05-26,500,Yes,181945.12018289036,-9052.427313152963,172392.6928697374
4968,316,Bali,2024-08-16,1,Confirmed,2024-09-26,1000,Yes,39830.838137482715,19432.30435910405,58263.14249658676
3800,696,Vietnam,2024-04-09,8,Confirmed,2024-04-21,1000,Yes,323908.24327782274,157819.49561857976,480727.73889640253
2188,438,Dubai,2024-05-26,4,Confirmed,2024-06-10,0,No,118944.72554854573,1477.2331379988536,120421.95868654459
2707,854,Kashmir,2024-07-20,7,Confirmed,2024-08-27,1000,Yes,186816.13006836435,38762.64209350098,224578.77216186532
4405,414,Dubai,2024-07-21,8,Confirmed,2024-09-18,1000,Yes,235084.94048026443,36978.918577783115,271063.8590580475
4910,856,Vietnam,2024-10-22,5,Confirmed,2025-01-01,0,No,206198.71285284968,90117.63378613666,296316.3466389864
2539,852,Kashmir,2024-07-13,5,Confirmed,2024-09-25,1000,Yes,123587.3960749378,-2979.810986337944,119607.58508859985
3910,536,Dubai,2024-11-16,7,Confirmed,2024-11-19,500,Yes,212234.00770670723,25013.50598348475,236747.51369019196
4098,500,Kashmir,2024-10-24,5,Confirmed,2024-10-28,2000,Yes,119780.23068400682,44321.22703607633,162101.45772008316
2157,712,Maldives,2024-01-07,6,Confirmed,2024-01-14,500,Yes,380270.51486498804,118249.2283966519,498019.74326163996
2435,333,Kashmir,2024-03-11,5,Confirmed,2024-03-19,0,No,120154.21716319238,10091.76232736062,130245.979490553
4933,337,Dubai,2024-08-12,5,Confirmed,2024-09-19,0,No,146516.18150353956,34994.55818702474,181510.73969056428
2280,384,Thailand,2024-12-28,6,Failed,2025-01-06,500,Yes,207630.46406047457,44562.41013587662,251692.8741963512
4990,671,Dubai,2024-01-10,3,Confirmed,2024-01-25,0,No,86555.361182731,14061.927382941072,100617.28856567206
2174,234,Thailand,2024-10-10,10,Failed,2024-10-20,0,No,379446.59737982537,113549.20680181734,492995.8041816427
2684,218,Maldives,2024-10-15,7,Confirmed,2024-10-22,500,Yes,404522.5685714421,88317.39975944834,492339.9683308904
4048,353,Vietnam,2024-10-15,9,Confirmed,2024-11-03,0,No,322431.67215425824,49895.92660251752,372327.5987567757
3431,319,Himachal Pradesh,2024-07-11,6,Confirmed,2024-08-25,500,Yes,117062.13062001433,56978.77530746292,173540.90592747726
3579,721,Himachal Pradesh,2024-01-22,6,Canceled,2024-02-12,500,Yes,129779.0408190729,335.78808624873125,129614.82890532164
2949,953,Dubai,2024-11-17,8,Confirmed,2024-12-02,2000,Yes,224724.3248184366,98236.11348894729,320960.4383073839
2653,730,Maldives,2024-12-10,7,Canceled,2025-02-05,500,Yes,430009.8937098625,62077.798820493525,491587.692530356
2757,937,Kashmir,2024-06-26,3,Confirmed,2024-07-11,1000,Yes,79248.5711005008,2574.7803987573984,80823.3514992582
1528,716,Thailand,2024-08-30,7,Confirmed,2024-09-20,500,Yes,256648.8678823232,124556.3368502314,380705.2047325546
4966,495,Maldives,2024-02-05,3,Confirmed,2024-04-25,1000,Yes,170375.57242767388,8688.422118574994,178063.99454624887
4906,604,Himachal Pradesh,2024-12-16,8,Canceled,2025-01-02,500,Yes,164738.49069953957,23656.40600691639,187894.89670645597
4303,511,Kerala,2024-09-20,1,Confirmed,2024-12-08,1000,Yes,16713.0009959351,8054.442266573931,23767.443262509034
3167,407,Vietnam,2024-01-26,7,Confirmed,2024-02-08,1000,Yes,239942.49976728685,85767.83786167017,324710.337628957
4318,380,Kashmir,2024-01-05,5,Confirmed,2024-01-17,1000,Yes,129838.08190483398,45919.46475122044,174757.54665605442
4070,732,Thailand,2024-07-12,10,Canceled,2024-07-19,1000,Yes,371671.8597036554,148836.61376836032,519508.4734720157
4141,646,Bali,2024-10-18,4,Confirmed,2024-11-02,1000,Yes,154730.78322771133,6463.166464961544,160193.94969267288
2014,456,Vietnam,2024-12-02,8,Confirmed,2025-01-21,1000,Yes,290864.6796049314,71780.70450873932,361645.3841136707
1577,501,Bali,2024-01-09,7,Confirmed,2024-01-29,0,No,296539.96228622406,4777.184760781984,301317.14704700606
2814,539,Thailand,2024-09-04,6,Confirmed,2024-09-24,2000,Yes,194305.73151472246,17487.27569114544,209793.0072058679
3798,617,Kashmir,2024-12-24,4,Confirmed,2025-01-01,0,No,106509.16749660985,-4041.944420795259,102467.22307581459
2108,508,Vietnam,2024-04-14,3,Confirmed,2024-05-16,1000,Yes,116512.53877909554,28139.01784548852,143651.55662458407
3176,874,Kerala,2024-04-25,2,Confirmed,2024-05-04,0,No,37810.5079434535,3350.3416977630027,41160.849641216504
3825,734,Thailand,2024-04-12,5,Confirmed,2024-04-25,0,No,174212.52743712242,64853.17251099592,239065.69994811836
1110,396,Vietnam,2024-02-22,2,Confirmed,2024-04-29,0,No,79690.42217541755,653.3555886885381,80343.7777641061
1177,275,Maldives,2024-08-30,8,Confirmed,2024-09-18,1000,Yes,439533.03682647203,41095.734805301654,479628.7716317737
2873,793,Maldives,2024-09-15,10,Confirmed,2024-10-06,2000,Yes,623048.3997994069,53.07974656988802,621101.4795459767
1204,691,Vietnam,2024-05-05,8,Confirmed,2024-05-24,2000,Yes,306532.6747577382,152765.52146053585,457298.19621827407
1920,589,Maldives,2024-04-27,6,Confirmed,2024-05-06,0,No,333790.4998117625,155284.94074451385,489075.44055627636
3630,417,Vietnam,2024-08-11,10,Confirmed,2024-08-15,0,No,378983.28304290224,32713.505804810873,411696.7888477131
1711,361,Himachal Pradesh,2024-09-11,6,Failed,2024-10-17,1000,Yes,117762.6911810327,10885.153588069403,127647.8447691021
3879,752,Dubai,2024-06-01,5,Confirmed,2024-06-13,1000,Yes,159661.68438825288,17609.45345903035,176271.13784728321
1493,700,Kerala,2024-04-20,5,Confirmed,2024-05-07,2000,Yes,95263.14543731902,16612.150442753595,109875.29588007262
1173,758,Bali,2024-04-03,2,Confirmed,2024-04-13,0,No,76374.52445558949,22501.41700165645,98875.94145724594
3993,890,Bali,2024-08-20,5,Confirmed,2024-09-07,0,No,214305.1997889009,-5519.622000726068,208785.57778817485
4442,379,Vietnam,2024-05-20,3,Confirmed,2024-07-09,1000,Yes,104407.8517991988,40807.77541245714,144215.62721165596
2894,829,Kerala,2024-05-12,1,Confirmed,2024-06-02,1000,Yes,17214.25938976266,3121.203911331013,19335.463301093674
4132,898,Kerala,2024-03-13,10,Confirmed,2024-03-24,0,No,197648.10370830377,68279.70557882226,265927.80928712606
3439,535,Thailand,2024-02-05,8,Confirmed,2024-02-09,500,Yes,294847.95836919977,80116.76326939133,374464.7216385911
4047,673,Thailand,2024-08-08,3,Confirmed,2024-08-23,500,Yes,113883.90034116506,22012.43532692891,135396.33566809396
1506,391,Kashmir,2024-01-11,4,Confirmed,2024-01-29,1000,Yes,94377.98810357394,15509.522338571192,108887.51044214513
3431,615,Vietnam,2024-03-20,9,Confirmed,2024-04-09,500,Yes,323337.027199443,92263.60850090384,415100.63570034684
1802,684,Thailand,2024-11-13,10,Confirmed,2024-11-26,500,Yes,373182.642841519,167950.14478407046,540632.7876255894
1603,249,Dubai,2024-06-30,3,Failed,2024-07-01,0,No,90613.82903668114,25048.34470101206,115662.1737376932
2954,518,Kashmir,2024-12-29,6,Confirmed,2025-01-15,0,No,151610.0600199554,-1903.888876533503,149706.17114342187
2281,890,Kashmir,2024-06-07,7,Canceled,2024-06-20,1000,Yes,186421.32233674038,29604.99042607112,215026.3127628115
2894,258,Kashmir,2024-02-03,3,Confirmed,2024-02-13,500,Yes,77228.39289132532,12397.478222744641,89125.87111406996
2975,624,Vietnam,2024-12-29,4,Confirmed,2025-01-13,1000,Yes,138020.92744666766,16103.349447145241,153124.2768938129
1435,537,Thailand,2024-08-19,4,Failed,2024-09-20,0,No,149371.937118892,10023.22877758293,159395.16589647494
3777,448,Thailand,2024-10-27,10,Confirmed,2024-11-29,2000,Yes,353274.39048031153,119514.6508789843,470789.04135929584
4362,746,Kashmir,2024-03-01,5,Confirmed,2024-03-08,2000,Yes,117064.3476934759,57954.649583272025,173018.99727674792
2712,498,Vietnam,2024-05-06,10,Canceled,2024-05-14,1000,Yes,388347.62111020775,62782.307497578935,450129.92860778666
4094,744,Maldives,2024-04-04,6,Confirmed,2024-04-21,0,No,327154.96104520466,81565.88601975526,408720.84706495993
3975,514,Maldives,2024-04-08,10,Confirmed,2024-05-30,500,Yes,563632.6767649268,48008.90945314716,611141.586218074
1606,594,Himachal Pradesh,2024-07-30,10,Confirmed,2024-08-20,500,Yes,210069.89044716602,58368.476767535,267938.367214701
2433,618,Thailand,2024-02-04,9,Confirmed,2024-02-24,500,Yes,304188.4946244094,-6430.712567908506,297257.7820565009
4681,294,Dubai,2024-05-16,9,Confirmed,2024-05-23,1000,Yes,251617.13275090003,98798.97826811884,349416.11101901886
2870,343,Kerala,2024-08-25,7,Confirmed,2024-09-05,0,No,116150.18385871456,-120.13824285253614,116030.04561586202
3525,575,Thailand,2024-04-10,7,Confirmed,2024-04-28,500,Yes,264148.021728101,77226.00661857068,340874.0283466717
3461,488,Bali,2024-12-24,10,Canceled,2025-01-01,0,No,390510.004460325,12762.147145205354,403272.15160553035
2969,348,Maldives,2024-08-01,7,Canceled,2024-08-13,0,No,383059.71874968207,35706.87075766418,418766.5895073463
1564,993,Kerala,2024-02-18,7,Confirmed,2024-02-29,2000,Yes,130047.4198236696,62352.23271777818,190399.65254144778
1097,667,Himachal Pradesh,2024-04-04,6,Failed,2024-04-11,2000,Yes,123710.56527233454,-1665.874496377767,120044.69077595677
1686,475,Bali,2024-03-05,8,Failed,2024-03-18,1000,Yes,348858.75299605343,95862.9438405688,443721.6968366222
4757,229,Dubai,2024-03-09,6,Confirmed,2024-03-19,0,No,172997.4213872445,64188.18466897252,237185.60605621705
1423,654,Himachal Pradesh,2024-11-21,10,Confirmed,2024-12-07,500,Yes,199996.06454323232,1731.7560248178318,201227.82056805014
1073,458,Maldives,2024-05-22,8,Confirmed,2024-07-16,500,Yes,524666.0833886281,-15129.731805422018,509036.3515832061
2230,677,Kashmir,2024-05-10,9,Confirmed,2024-06-11,0,No,224834.21531082274,51374.258369868505,276208.4736806912
3127,750,Maldives,2024-03-20,6,Failed,2024-03-25,0,No,382874.39341438387,141699.08640031848,524573.4798147024
2622,301,Kerala,2024-03-15,7,Confirmed,2024-03-24,0,No,129726.32554461059,29710.912215602813,159437.2377602134
3873,750,Kashmir,2024-12-19,9,Confirmed,2025-02-19,2000,Yes,225137.61456420014,2519.152306944769,225656.7668711449
2261,320,Vietnam,2024-08-25,1,Confirmed,2024-09-27,500,Yes,40997.04253186501,7092.715211563752,47589.75774342876
4571,265,Maldives,2024-12-18,3,Canceled,2025-01-06,1000,Yes,174596.00097489782,37057.471199633765,210653.47217453158
2484,963,Himachal Pradesh,2024-04-15,4,Confirmed,2024-04-28,2000,Yes,72646.37729627354,22309.610162930254,92955.9874592038
3448,776,Bali,2024-07-07,3,Confirmed,2024-07-15,2000,Yes,131911.63887616337,3683.171728364415,133594.8106045278
4829,543,Bali,2024-11-04,5,Confirmed,2024-11-17,500,Yes,206550.7568226856,79592.9756907594,285643.73251344496
3594,885,Dubai,2024-03-11,7,Canceled,2024-03-28,1000,Yes,209800.11645315716,71091.80497974186,279891.921432899
1695,256,Bali,2024-03-24,5,Confirmed,2024-04-11,2000,Yes,213292.6359855876,56403.95219089446,267696.58817648207
3337,444,Kerala,2024-04-24,2,Confirmed,2024-05-11,0,No,36591.6067355882,11604.646102902207,48196.2528384904
4612,858,Kashmir,2024-10-15,1,Failed,2024-12-27,0,No,26003.54979242217,6040.32421190857,32043.87400433074
4555,225,Dubai,2024-10-02,10,Confirmed,2024-10-10,1000,Yes,287504.4740086014,78211.37241650288,364715.8464251043
4309,786,Himachal Pradesh,2024-03-14,9,Failed,2024-05-07,0,No,193701.48992110303,69825.28302491609,263526.77294601913
2107,345,Dubai,2024-04-18,9,Confirmed,2024-05-03,1000,Yes,278837.40876941243,-1808.480909684931,276028.9278597275
2554,638,Vietnam,2024-05-18,8,Canceled,2024-06-16,1000,Yes,311566.6773461665,94676.60897346937,405243.28631963587
2404,614,Thailand,2024-04-14,6,Canceled,2024-05-05,1000,Yes,227645.7450134944,96933.29290750161,323579.037920996
4565,249,Himachal Pradesh,2024-05-04,2,Confirmed,2024-05-20,2000,Yes,39867.09682177858,17655.20480216174,55522.30162394032
4554,889,Dubai,2024-10-04,10,Confirmed,2024-10-19,2000,Yes,305988.3498727539,93896.6034443363,397884.95331709017
4255,428,Dubai,2024-06-18,4,Failed,2024-06-25,0,No,126097.59803095835,3617.9287984200655,129715.52682937842
2490,267,Maldives,2024-05-05,9,Confirmed,2024-05-15,2000,Yes,564445.717002963,202737.39428578736,765183.1112887503
4925,754,Thailand,2024-03-15,9,Confirmed,2024-03-27,1000,Yes,286959.2204987445,87677.6698380865,373636.890336831
3692,482,Kerala,2024-05-18,6,Confirmed,2024-06-16,1000,Yes,105707.59469995387,41365.84925987668,146073.44395983056
4534,958,Vietnam,2024-08-07,10,Confirmed,2024-10-17,1000,Yes,413170.773331289,-14791.438136456849,397379.3351948322
4135,765,Vietnam,2024-12-03,6,Confirmed,2024-12-24,0,No,235947.68092866865,98700.68297253599,334648.36390120466
1267,561,Vietnam,2024-01-27,3,Confirmed,2024-02-14,500,Yes,119503.1083604382,-2699.8219211213755,116303.28643931683
2036,551,Himachal Pradesh,2024-04-30,1,Confirmed,2024-05-07,0,No,18058.805591906766,-89.93170661989998,17968.873885286866
4369,604,Himachal Pradesh,2024-04-18,8,Confirmed,2024-05-07,1000,Yes,164314.3409482496,13530.454035128192,176844.7949833778
3337,918,Vietnam,2024-02-16,9,Failed,2024-02-25,1000,Yes,323762.3048985515,153495.71254666796,476258.01744521945
2361,224,Himachal Pradesh,2024-04-24,4,Confirmed,2024-05-14,1000,Yes,79469.57143079126,27781.634560475984,106251.20599126724
4407,450,Kashmir,2024-10-28,9,Failed,2024-11-11,1000,Yes,208087.58510703573,12021.700846207026,219109.28595324277
3487,494,Kerala,2024-06-13,5,Confirmed,2024-06-20,500,Yes,88472.99921730265,24596.37974248989,112569.37895979255
1566,842,Kerala,2024-01-12,5,Confirmed,2024-02-18,2000,Yes,86122.57104888052,31543.694973571713,115666.26602245224
2119,372,Maldives,2024-06-01,5,Confirmed,2024-06-13,500,Yes,326403.0385457479,108639.4024823599,434542.44102810783
1816,400,Vietnam,2024-06-16,8,Confirmed,2024-06-23,2000,Yes,295664.34832386114,99804.58935505671,393468.93767891784
4117,603,Maldives,2024-04-11,9,Confirmed,2024-05-16,2000,Yes,514891.8034072187,-14245.506041037104,498646.2973661816
2864,864,Himachal Pradesh,2024-11-16,1,Confirmed,2025-01-29,0,No,18097.187893589027,5397.912778529965,23495.10067211899
3246,729,Thailand,2024-05-08,5,Failed,2024-05-10,1000,Yes,188076.90520115182,83346.72820094314,270423.63340209494
3702,581,Bali,2024-06-12,2,Confirmed,2024-06-25,0,No,85116.14771667832,33550.875299450025,118667.02301612834
2611,324,Kerala,2024-08-14,3,Confirmed,2024-10-24,500,Yes,49540.54279454993,20112.524433514413,69153.06722806435
3018,505,Maldives,2024-02-04,1,Confirmed,2024-02-14,2000,Yes,64936.15643351953,16828.176156355752,79764.33258987528
4121,994,Bali,2024-01-23,7,Confirmed,2024-02-08,500,Yes,260425.93337714137,8438.968265635942,268364.9016427773
2126,724,Thailand,2024-01-02,5,Failed,2024-01-22,0,No,169461.84068434237,81756.02080256949,251217.86148691186
1416,784,Kerala,2024-08-07,10,Confirmed,2024-08-19,0,No,174905.83014465324,23848.402097565893,198754.23224221915
4325,307,Himachal Pradesh,2024-01-24,10,Confirmed,2024-02-16,0,No,192884.39287295463,37669.00093743597,230553.3938103906
2846,532,Bali,2024-11-05,6,Canceled,2025-01-02,500,Yes,253119.02152550156,119752.81333576007,372371.83486126165
3682,989,Thailand,2024-12-02,8,Confirmed,2024-12-12,0,No,277432.8603481623,20657.4877040767,298090.348052239
4455,846,Dubai,2024-01-22,1,Confirmed,2024-02-04,2000,Yes,32986.933570864705,3132.4834214296607,34119.41699229437
1150,358,Kerala,2024-04-04,1,Canceled,2024-04-20,0,No,19577.3197963095,2134.6521423401014,21711.971938649604
4474,329,Vietnam,2024-11-04,4,Confirmed,2024-12-06,2000,Yes,150427.1536442426,-208.6545516133914,148218.4990926292
3509,809,Vietnam,2024-07-29,6,Failed,2024-08-14,500,Yes,237421.24501409568,42883.82282720682,279805.0678413025
1304,415,Kashmir,2024-03-01,7,Confirmed,2024-03-19,500,Yes,169943.8547365342,5337.29059154765,174781.14532808185
3940,296,Dubai,2024-07-01,8,Confirmed,2024-07-16,2000,Yes,259528.44716339637,77437.38108658712,334965.8282499835
1092,660,Himachal Pradesh,2024-09-12,9,Confirmed,2024-09-16,2000,Yes,189579.50252397626,22411.167535946992,209990.67005992326
2986,932,Thailand,2024-07-20,6,Confirmed,2024-08-04,0,No,205798.81998495825,72675.49339243099,278474.3133773892
4211,947,Thailand,2024-02-23,1,Confirmed,2024-03-13,2000,Yes,35469.66705816188,912.9713099938778,34382.638368155756
2161,569,Kashmir,2024-10-19,2,Failed,2024-11-04,1000,Yes,54025.35639240893,8940.50641325209,61965.86280566102
3917,209,Thailand,2024-07-16,5,Confirmed,2024-10-03,1000,Yes,186867.7922968921,24268.703310221368,210136.49560711347
2666,615,Thailand,2024-08-07,6,Confirmed,2024-08-25,1000,Yes,190810.23111103158,-5270.32587261831,184539.90523841328
3715,428,Bali,2024-10-14,2,Confirmed,2024-10-30,0,No,83296.93766837045,31736.731104355422,115033.66877272587
2564,902,Vietnam,2024-08-15,3,Canceled,2024-10-11,1000,Yes,108648.85019782648,15925.116635226022,123573.9668330525
2306,216,Maldives,2024-11-06,4,Confirmed,2024-11-16,500,Yes,237149.91290468498,58799.395129862176,295449.30803454714
2826,627,Kerala,2024-05-24,7,Canceled,2024-06-10,500,Yes,138364.07803677002,2109.6474596460303,139973.72549641604
2823,423,Kashmir,2024-08-16,2,Confirmed,2024-08-27,1000,Yes,45589.02098530344,11148.982367490566,55738.003352794
4924,566,Thailand,2024-06-10,5,Confirmed,2024-06-17,1000,Yes,175854.38164284846,31522.834884291013,206377.21652713948
3547,792,Himachal Pradesh,2024-07-24,5,Confirmed,2024-08-05,500,Yes,94595.02401274645,37265.85045205989,131360.87446480634
3452,990,Kashmir,2024-07-03,8,Confirmed,2024-07-28,2000,Yes,184036.11233340387,26621.10930447863,208657.2216378825
1063,298,Vietnam,2024-01-16,9,Confirmed,2024-02-06,1000,Yes,329761.0059022951,24878.518815328887,353639.524717624
4718,480,Bali,2024-12-14,2,Confirmed,2025-01-01,500,Yes,81327.20509308662,34584.683441372945,115411.88853445958
